"ean","gtin","fonteinfo","marca","produto","quantidade","unidade","quantidadeconvert","unidadeconvert","valor energetico","proteina","lipideos","colesterol","carboidrato","fibra alimentar","calcio","magnesio","manganes","fosforo","ferro","sodio","potassio","cobre","zinco","vitamina c"
"7891910000197","07891910000197","embalagem","União","Açúcar Refinado","5","g","1","colher de chá",20,,,,"5.0",,,,,,,,,,,
"7894900700015","07894900700015","embalagem","Coca-Cola","Refrigerante Zero

  ","350","ml","1","lata",,,,,,,,,,,,"49.0",,,,
,,"TACO",,"Arroz, integral, cozido","100","g",,,124,"2,6","1,0","NA","25,8","2,7",5,59,"0,63",106,"0,3",1,75,"0,02","0,7",
,,"TACO",,"Arroz, integral, cru","100","g",,,360,"7,3","1,9","NA","77,5","4,8",8,110,"2,99",251,"0,9",2,173,"0,07","1,4",
,,"TACO",,"Arroz, tipo 1, cozido","100","g",,,128,"2,5","0,2","NA","28,1","1,6",4,2,"0,30",18,"0,1",1,15,"0,02","0,5",
,,"TACO",,"Arroz, tipo 1, cru","100","g",,,358,"7,2","0,3","NA","78,8","1,6",4,30,"1,03",104,"0,7",1,62,"0,11","1,2",
,,"TACO",,"Arroz, tipo 2, cozido","100","g",,,130,"2,6","0,4","NA","28,2","1,1",3,6,"0,37",22,"0,1",2,20,"0,04","0,5",
,,"TACO",,"Arroz, tipo 2, cru","100","g",,,358,"7,2","0,3","NA","78,9","1,7",5,29,"0,83",82,"0,6",1,57,"0,05","1,3",
,,"TACO",,"Aveia, flocos, crua","100","g",,,394,"13,9","8,5","NA","66,6","9,1",48,119,"1,89",153,"4,4",5,336,"0,44","2,6","1,4"
,,"TACO",,"Biscoito, doce, maisena","100","g",,,443,"8,1","12,0","NA","75,2","2,1",54,37,"0,78",166,"1,8",352,142,"0,17","1,0","6,2"
,,"TACO",,"Biscoito, doce, recheado com chocolate","100","g",,,472,"6,4","19,6","Tr","70,5","3,0",27,48,"0,59",139,"2,3",239,232,"0,27","1,0","3,5"
,,"TACO",,"Biscoito, doce, recheado com morango","100","g",,,471,"5,7","19,6","Tr","71,0","1,5",36,27,"0,66",138,"1,5",230,113,"0,13","0,7","Tr"
,,"TACO",,"Biscoito, doce, wafer, recheado de chocolate","100","g",,,502,"5,6","24,7","Tr","67,5","1,8",23,48,"0,44",124,"2,4",137,240,"0,26","0,9","Tr"
,,"TACO",,"Biscoito, doce, wafer, recheado de morango","100","g",,,513,"4,5","26,4",1,"67,4","0,8",14,19,"0,28",73,"1,1",120,75,"0,08","0,5",
,,"TACO",,"Biscoito, salgado, cream cracker","100","g",,,432,"10,1","14,4","NA","68,7","2,5",20,40,"0,69",148,"2,2",854,181,"0,18","1,1",
,,"TACO",,"Bolo, mistura para","100","g",,,419,"6,2","6,1","Tr","84,7","1,7",59,28,"0,46",333,"1,2",463,75,"0,15","0,6","Tr"
,,"TACO",,"Bolo, pronto, aipim","100","g",,,324,"4,4","12,7",73,"47,9","0,7",85,10,"0,11",122,"0,5",111,135,"0,05","0,4","Tr"
,,"TACO",,"Bolo, pronto, chocolate","100","g",,,410,"6,2","18,5",77,"54,7","1,4",75,28,"0,38",197,"2,1",283,212,"0,05","0,7","Tr"
,,"TACO",,"Bolo, pronto, coco","100","g",,,333,"5,7","11,3",63,"52,3","1,1",57,16,"0,40",303,"0,8",190,143,"0,09","0,7","Tr"
,,"TACO",,"Bolo, pronto, milho","100","g",,,311,"4,8","12,4",82,"45,1","0,7",83,10,"0,11",128,"0,7",134,118,"0,04","0,4","Tr"
,,"TACO",,"Canjica, branca, crua","100","g",,,358,"7,2","1,0","NA","78,1","5,5",2,12,"0,09",48,"0,3",1,93,"0,05","0,4","Tr"
,,"TACO",,"Canjica, com leite integral","100","g",,,112,"2,4","1,2",1,"23,6","1,2",43,6,"0,02",41,"0,1",28,70,"0,03","0,3","Tr"
,,"TACO",,"Cereais, milho, flocos, com sal","100","g",,,370,"7,3","1,6","NA","80,8","5,3",2,20,"Tr",91,"0,5",272,69,"Tr","0,6","Tr"
,,"TACO",,"Cereais, milho, flocos, sem sal","100","g",,,363,"6,9","1,2","NA","80,4","1,8",2,17,"Tr",58,"1,7",31,29,"0,24","0,3","Tr"
,,"TACO",,"Cereais, mingau, milho, infantil","100","g",,,394,"6,4","1,1","NA","87,3","3,2",219,16,"0,11",169,"3,0",399,82,"0,04","0,4","109,4"
,,"TACO",,"Cereais, mistura para vitamina, trigo, cevada e aveia","100","g",,,381,"8,9","2,1","NA","81,6","5,0",584,72,"2,28",515,"12,6",1163,244,"0,21","2,0","13,1"
,,"TACO",,"Cereal matinal, milho","100","g",,,365,"7,2","1,0","NA","83,8","4,1",143,11,"0,06",101,"3,1",655,83,"0,06","7,6","17,3"
,,"TACO",,"Cereal matinal, milho, açúcar","100","g",,,377,"4,7","0,7","NA","88,8","2,1",56,8,"0,13",43,"3,9",405,52,"0,04","8,5","14,6"
,,"TACO",,"Creme de arroz, pó","100","g",,,386,"7,0","1,2","NA","83,9","1,1",7,51,"1,24",153,"0,6",1,115,"0,04","1,9","Tr"
,,"TACO",,"Creme de milho, pó","100","g",,,333,"4,8","1,6","NA","86,1","3,7",323,30,"0,20",303,"4,3",594,166,"0,04","0,8","96,3"
,,"TACO",,"Curau, milho verde","100","g",,,78,"2,4","1,6",5,"13,9","0,5",53,16,"0,06",75,"0,4",21,162,"0,03","0,4","Tr"
,,"TACO",,"Curau, milho verde, mistura para","100","g",,,402,"2,2","13,4","NA","79,8","2,5",31,9,"0,05",45,"0,9",223,55,"0,03","0,2","Tr"
,,"TACO",,"Farinha, de arroz, enriquecida","100","g",,,363,"1,3","0,3","NA","85,5","0,6",1,4,"0,04",36,"31,4",17,13,"Tr","8,5","173,6"
,,"TACO",,"Farinha, de centeio, integral","100","g",,,336,"12,5","1,8","NA","73,3","15,5",34,120,"3,86",340,"4,7",41,334,"0,56","2,7","Tr"
,,"TACO",,"Farinha, de milho, amarela","100","g",,,351,"7,2","1,5","NA","79,1","5,5",1,31,"Tr",84,"2,3",45,58,"0,27","0,6","Tr"
,,"TACO",,"Farinha, de rosca","100","g",,,371,"11,4","1,5","NA","75,8","4,8",35,57,"1,62",195,"6,7",333,212,"0,26","1,7","Tr"
,,"TACO",,"Farinha, de trigo","100","g",,,360,"9,8","1,4","NA","75,1","2,3",18,31,"0,46",115,"1,0",1,151,"0,15","0,8","Tr"
,,"TACO",,"Farinha, láctea, de cereais","100","g",,,415,"11,9","5,8",11,"77,8","1,9",196,58,"1,49",296,"8,7",125,366,"0,19","1,7","24,3"
,,"TACO",,"Lasanha, massa fresca, cozida","100","g",,,164,"5,8","1,2","NA","32,5","1,6",10,4,"0,20",42,"1,2",207,54,"0,07","0,4"," "
,,"TACO",,"Lasanha, massa fresca, crua","100","g",,,220,"7,0","1,3","NA","45,1","1,6",17,13,"0,34",82,"1,9",667,137,"0,10","0,8"," "
,,"TACO",,"Macarrão, instantâneo","100","g",,,436,"8,8","17,2","NA","62,4","5,6",18,19,"0,25",112,"0,8",1516,148,"0,10","0,5","Tr"
,,"TACO",,"Macarrão, trigo, cru","100","g",,,371,"10,0","1,3","NA","77,9","2,9",17,28,"0,53",100,"0,9",7,147,"0,15","0,8","Tr"
,,"TACO",,"Macarrão, trigo, cru, com ovos","100","g",,,371,"10,3","2,0",18,"76,6","2,3",19,"Tr","0,40",118,"0,9",15,134,"0,14","0,8","Tr"
,,"TACO",,"Milho, amido, cru","100","g",,,361,"0,6","Tr","NA","87,1","0,7",1,3,"0,02",13,"0,1",8,9,"0,02","0,1","Tr"
,,"TACO",,"Milho, fubá, cru","100","g",,,353,"7,2","1,9","NA","78,9","4,7",3,41,"0,34",108,"0,9","Tr",168,"0,08","1,1","Tr"
,,"TACO",,"Milho, verde, cru","100","g",,,138,"6,6","0,6","NA","28,6","3,9",2,33,"0,12",113,"0,4",1,185,"0,05","0,5","Tr"
,,"TACO",,"Milho, verde, enlatado, drenado","100","g",,,98,"3,2","2,4","NA","17,1","4,6",2,20,"0,09",61,"0,6",260,162,"0,05","0,5","1,7"
,,"TACO",,"Mingau tradicional, pó","100","g",,,373,"0,6","0,4","NA","89,3","0,9",522,4,"Tr",273,"42,0",15,"Tr","Tr","15,2","Tr"
,,"TACO",,"Pamonha, barra para cozimento, pré-cozida","100","g",,,171,"2,6","4,8","NA","30,7","2,4",4,15,"0,12",55,"0,4",132,125,"0,03","0,4","Tr"
,,"TACO",,"Pão, aveia, forma","100","g",,,343,"12,4","5,7","Tr","59,6","6,0",109,57,"1,08",182,"4,7",606,210,"0,14","1,7","Tr"
,,"TACO",,"Pão, de soja","100","g",,,309,"11,3","3,6","NA","56,5","5,7",90,48,"0,57",153,"3,3",663,296,"0,16","1,5","Tr"
,,"TACO",,"Pão, glúten, forma","100","g",,,253,"12,0","2,7","NA","44,1","2,5",156,24,"0,51",105,"5,7",22,65,"0,06","1,3","Tr"
,,"TACO",,"Pão, milho, forma","100","g",,,292,"8,3","3,1",6,"56,4","4,3",78,29,"0,37",110,"3,0",507,89,"0,10","0,8","Tr"
,,"TACO",,"Pão, trigo, forma, integral","100","g",,,253,"9,4","3,7","NA","49,9","6,9",132,60,"1,62",193,"3,0",506,163,"0,15","1,6","Tr"
,,"TACO",,"Pão, trigo, francês","100","g",,,300,"8,0","3,1","NA","58,6","2,3",16,25,"0,46",95,"1,0",648,142,"0,13","0,8"," "
,,"TACO",,"Pão, trigo, sovado","100","g",,,311,"8,4","2,8",17,"61,5","2,4",52,22,"0,31",101,"2,3",431,91,"Tr","2,7","Tr"
,,"TACO",,"Pastel, de carne, cru","100","g",,,289,"10,7","8,8",18,"42,0","1,0",17,18,"0,34",117,"2,0",1309,166,"0,11","1,7","Tr"
,,"TACO",,"Pastel, de carne, frito","100","g",,,388,"10,1","20,1",25,"43,8","1,0",13,14,"0,22",90,"2,5",1040,156,"0,12","1,2",
,,"TACO",,"Pastel, de queijo, cru","100","g",,,308,"9,9","9,6",14,"45,9","1,1",155,16,"0,24",168,"1,0",985,103,"0,10","1,0","Tr"
,,"TACO",,"Pastel, de queijo, frito","100","g",,,422,"8,7","22,7",15,"48,1","0,9",126,15,"0,20",124,"1,3",821,124,"0,10","0,8","Tr"
,,"TACO",,"Pastel, massa, crua","100","g",,,310,"6,9","5,5","NA","57,4","1,4",13,14,"0,38",73,"1,1",1344,167,"0,11","0,6"," "
,,"TACO",,"Pastel, massa, frita","100","g",,,570,"6,0","40,9","NA","49,3","1,3",11,13,"0,36",62,"1,4",1175,143,"0,08","0,5"," "
,,"TACO",,"Pipoca, com óleo de soja, sem sal","100","g",,,448,"9,9","15,9","NA","70,3","14,3",3,91,"0,65",225,"1,2",4,256,"0,46","2,0","Tr"
,,"TACO",,"Polenta, pré-cozida","100","g",,,103,"2,3","0,3","NA","23,3","2,4",1,4,"Tr",17,"Tr",442,100,"0,04","0,1","Tr"
,,"TACO",,"Torrada, pão francês","100","g",,,377,"10,5","3,3","NA","74,6","3,4",19,32,"0,55",114,"1,2",829,189,"0,16","0,9","Tr"
,,"TACO",,"Abóbora, cabotian, cozida","100","g",,,48,"1,4","0,7","NA","10,8","2,5",8,9,"0,26",33,"0,3",1,199,"0,06","0,3","7,5"
,,"TACO",,"Abóbora, cabotian, crua","100","g",,,39,"1,7","0,5","NA","8,4","2,2",18,9,"0,11",26,"0,4","Tr",351,"0,06","0,3","5,1"
,,"TACO",,"Abóbora, menina brasileira, crua","100","g",,,14,"0,6","Tr","NA","3,3","1,2",9,4,"0,01",12,"0,2","Tr",165,"0,02","Tr","1,5"
,,"TACO",,"Abóbora, moranga, crua","100","g",,,12,"1,0","0,1","NA","2,7","1,7",3,2,"0,01",8,"Tr","Tr",125,"0,05","0,1","9,6"
,,"TACO",,"Abóbora, moranga, refogada","100","g",,,29,"0,4","0,8","NA","6,0","1,5",19,7,"0,02",12,"0,1",3,183,"0,04","0,1","6,7"
,,"TACO",,"Abóbora, pescoço, crua","100","g",,,24,"0,7","0,1","NA","6,1","2,3",9,7,"0,07",32,"0,3",1,264,"0,09","0,2","2,1"
,,"TACO",,"Abobrinha, italiana, cozida","100","g",,,15,"1,1","0,2","NA","3,0","1,6",17,17,"0,11",22,"0,2",1,126,"0,01","0,3","2,1"
,,"TACO",,"Abobrinha, italiana, crua","100","g",,,19,"1,1","0,1","NA","4,3","1,4",15,20,"0,09",32,"0,2","Tr",253,"0,05","0,2","6,9"
,,"TACO",,"Abobrinha, italiana, refogada","100","g",,,24,"1,1","0,8","NA","4,2","1,4",21,13,"0,14",32,"0,4",2,194,"0,02","0,3","7,5"
,,"TACO",,"Abobrinha, paulista, crua","100","g",,,31,"0,6","0,1","NA","7,9","2,6",19,9,"0,11",33,"0,2",1,213,"0,10","0,2","17,5"
,,"TACO",,"Acelga, crua","100","g",,,21,"1,4","0,1","NA","4,6","1,1",43,10,"0,11",40,"0,3",1,240,"0,10","0,3","22,6"
,,"TACO",,"Agrião, cru","100","g",,,17,"2,7","0,2","NA","2,3","2,1",133,18,"0,28",51,"3,1",7,218,"0,10","0,7","60,1"
,,"TACO",,"Aipo, cru","100","g",,,19,"0,8","0,1","NA","4,3","1,0",65,9,"0,18",28,"0,7",10,274,"0,31","0,1","5,9"
,,"TACO",,"Alface, americana, crua","100","g",,,9,"0,6","0,1","NA","1,7","1,0",14,6,"0,12",19,"0,3",7,136,"0,02","0,2","11,0"
,,"TACO",,"Alface, crespa, crua","100","g",,,11,"1,3","0,2","NA","1,7","1,8",38,11,"0,20",26,"0,4",3,267,"0,03","0,3","15,6"
,,"TACO",,"Alface, lisa, crua","100","g",,,14,"1,7","0,1","NA","2,4","2,3",28,9,"0,33",26,"0,6",4,349,"0,03","0,3","21,4"
,,"TACO",,"Alface, roxa, crua","100","g",,,13,"0,9","0,2","NA","2,5","2,0",34,9,"0,12",51,"2,5",7,308,"0,04","0,2","13,5"
,,"TACO",,"Alfavaca, crua","100","g",,,29,"2,7","0,5","NA","5,2","4,1",258,84,"0,15",50,"1,3",5,261,"0,15","0,7","Tr"
,,"TACO",,"Alho, cru","100","g",,,113,"7,0","0,2","NA","23,9","4,3",14,21,"0,24",149,"0,8",5,535,"0,15","0,8","*"
,,"TACO",,"Alho-poró, cru","100","g",,,32,"1,4","0,1","NA","6,9","2,5",34,11,"0,10",36,"0,6",2,224,"0,29","0,2","14,1"
,,"TACO",,"Almeirão, cru","100","g",,,18,"1,8","0,2","NA","3,3","2,6",19,21,"0,17",40,"0,7",2,369,"0,10","0,3","1,7"
,,"TACO",,"Almeirão, refogado","100","g",,,65,"1,7","4,8","NA","5,7","3,4",63,17,"0,28",31,"1,6",15,315,"0,06","0,2","1,5"
,,"TACO",,"Batata, baroa, cozida","100","g",,,80,"0,9","0,2","NA","18,9","1,8",12,8,"0,22",29,"0,4",2,258,"0,15","0,4","17,1"
,,"TACO",,"Batata, baroa, crua","100","g",,,101,"1,0","0,2","NA","24,0","2,1",17,12,"0,07",45,"0,3","Tr",505,"0,05","0,2","7,6"
,,"TACO",,"Batata, doce, cozida","100","g",,,77,"0,6","0,1","NA","18,4","2,2",17,11,"0,14",15,"0,2",3,148,"0,06","0,1","23,8"
,,"TACO",,"Batata, doce, crua","100","g",,,118,"1,3","0,1","NA","28,2","2,6",21,17,"0,18",36,"0,4",9,340,"0,11","0,2","16,5"
,,"TACO",,"Batata, frita, tipo chips, industrializada","100","g",,,543,"5,6","36,6","NA","51,2","2,5",12,24,"0,23",96,"0,7",607,1014,"0,12","0,6","Tr"
,,"TACO",,"Batata, inglesa, cozida","100","g",,,52,"1,2","Tr","NA","11,9","1,3",4,5,"0,07",24,"0,2",2,161,"0,06","0,2","3,8"
,,"TACO",,"Batata, inglesa, crua","100","g",,,64,"1,8","Tr","NA","14,7","1,2",4,15,"0,10",39,"0,4","Tr",302,"0,09","0,2","31,1"
,,"TACO",,"Batata, inglesa, frita","100","g",,,267,"5,0","13,1","NA","35,6","8,1",6,14,"0,15",70,"0,4",2,489,"0,10","0,4","16,3"
,,"TACO",,"Batata, inglesa, sauté","100","g",,,68,"1,3","0,9","NA","14,1","1,4",4,6,"0,08",32,"0,3",8,199,"0,05","0,2","Tr"
,,"TACO",,"Berinjela, cozida","100","g",,,19,"0,7","0,1","NA","4,5","2,5",11,9,"0,11",15,"0,2",1,105,"0,04","0,1","Tr"
,,"TACO",,"Berinjela, crua","100","g",,,20,"1,2","0,1","NA","4,4","2,9",9,13,"0,10",20,"0,2","Tr",205,"0,06","0,1","3,0"
,,"TACO",,"Beterraba, cozida","100","g",,,32,"1,3","0,1","NA","7,2","1,9",15,17,"0,19",30,"0,2",23,245,"0,04","0,4","1,2"
,,"TACO",,"Beterraba, crua","100","g",,,49,"1,9","0,1","NA","11,1","3,4",18,24,"1,23",19,"0,3",10,375,"0,08","0,5","3,1"
,,"TACO",,"Biscoito, polvilho doce","100","g",,,438,"1,3","12,2",9,"80,5","1,2",30,6,"0,08",23,"1,8",98,54,"0,04","0,1","Tr"
,,"TACO",,"Brócolis, cozido","100","g",,,25,"2,1","0,5","NA","4,4","3,4",51,15,"0,12",33,"0,5",2,119,"0,08","0,2","42,0"
,,"TACO",,"Brócolis, cru","100","g",,,25,"3,6","0,3","NA","4,0","2,9",86,30,"0,26",78,"0,6",3,322,"0,06","0,5","34,3"
,,"TACO",,"Cará, cozido","100","g",,,78,"1,5","0,1","NA","18,9","2,6",5,15,"0,02",28,"0,3",1,203,"0,11","0,2","Tr"
,,"TACO",,"Cará, cru","100","g",,,96,"2,3","0,1","NA","23,0","7,3",4,11,"0,01",35,"0,2","Tr",212,"0,06","0,2","8,8"
,,"TACO",,"Caruru, cru","100","g",,,34,"3,2","0,6","NA","6,0","4,5",455,197,"0,89",77,"4,5",14,279,"0,37","6,0","5,4"
,,"TACO",,"Catalonha, crua","100","g",,,24,"1,9","0,3","NA","4,8","2,0",57,17,"0,34",32,"3,1",9,412,"0,27","0,5","7,3"
,,"TACO",,"Catalonha, refogada","100","g",,,63,"2,0","4,8","NA","4,8","3,7",63,16,"0,64",35,"1,2",25,452,"0,18","0,4","Tr"
,,"TACO",,"Cebola, crua","100","g",,,39,"1,7","0,1","NA","8,9","2,2",14,12,"0,13",38,"0,2",1,176,"0,05","0,2","4,7"
,,"TACO",,"Cebolinha, crua","100","g",,,20,"1,9","0,4","NA","3,4","3,6",80,25,"0,13",27,"0,6",2,206,"0,04","0,3","31,8"
,,"TACO",,"Cenoura, cozida","100","g",,,30,"0,8","0,2","NA","6,7","2,6",26,14,"0,05",27,"0,1",8,176,"0,02","0,2","Tr"
,,"TACO",,"Cenoura, crua","100","g",,,34,"1,3","0,2","NA","7,7","3,2",23,11,"0,05",28,"0,2",3,315,"0,05","0,2","5,1"
,,"TACO",,"Chicória, crua","100","g",,,14,"1,1","0,1","NA","2,9","2,2",45,14,"0,13",13,"0,5",14,425,"0,04","0,1","6,5"
,,"TACO",,"Chuchu, cozido","100","g",,,19,"0,4","Tr","NA","4,8","1,0",8,7,"0,07",13,"0,1",2,54,"Tr","0,1","5,6"
,,"TACO",,"Chuchu, cru","100","g",,,17,"0,7","0,1","NA","4,1","1,3",12,7,"0,08",18,"0,2","Tr",126,"0,03","0,1","10,6"
,,"TACO",,"Coentro, folhas desidratadas","100","g",,,309,"20,9","10,4","NA","48,0","37,3",784,393,"10,48",388,"81,4",18,3223,"4,09","4,7","40,8"
,,"TACO",,"Couve, manteiga, crua","100","g",,,27,"2,9","0,5","NA","4,3","3,1",131,35,"1,02",49,"0,5",6,403,"0,06","0,4","96,7"
,,"TACO",,"Couve, manteiga, refogada ","100","g",,,90,"1,7","6,6","NA","8,7","5,7",177,26,"0,12",33,"0,5",11,315,"0,02","0,2","76,9"
,,"TACO",,"Couve-flor, crua","100","g",,,23,"1,9","0,2","NA","4,5","2,4",18,12,"0,16",57,"0,5",3,256,"0,03","0,3","36,1"
,,"TACO",,"Couve-flor, cozida","100","g",,,19,"1,2","0,3","NA","3,9","2,1",16,5,"0,10",25,"0,1",2,80,"Tr","0,3","23,7"
,,"TACO",,"Espinafre, Nova Zelândia, cru","100","g",,,16,"2,0","0,2","NA","2,6","2,1",98,82,"0,71",25,"0,4",17,336,"0,06","0,3","2,4"
,,"TACO",,"Espinafre, Nova Zelândia, refogado","100","g",,,67,"2,7","5,4","NA","4,2","2,5",112,123,"0,61",34,"0,6",47,149,"0,04","0,6","5,3"
,,"TACO",,"Farinha, de mandioca, crua","100","g",,,361,"1,6","0,3","NA","87,9","6,4",65,37,"Tr",42,"1,1",1,340,"0,08","0,4","Tr"
,,"TACO",,"Farinha, de mandioca, torrada","100","g",,,365,"1,2","0,3","NA","89,2","6,5",76,40,"0,37",39,"1,2",10,328,"Tr","0,4","Tr"
,,"TACO",,"Farinha, de puba","100","g",,,360,"1,6","0,5","NA","87,3","4,2",41,27,"0,16",33,"1,4",4,338,"0,07","0,3","Tr"
,,"TACO",,"Fécula, de mandioca","100","g",,,331,"0,5","0,3","NA","81,1","0,6",12,3,"Tr",60,"0,1",2,48,"Tr","Tr","Tr"
,,"TACO",,"Feijão, broto, cru","100","g",,,39,"4,2","0,1","NA","7,8","2,0",14,25,"0,19",75,"0,8",2,189,"0,17","0,6","12,0"
,,"TACO",,"Inhame, cru","100","g",,,97,"2,1","0,2","NA","23,2","1,7",12,29,"0,15",65,"0,4","Tr",568,"0,17","0,3","5,6"
,,"TACO",,"Jiló, cru","100","g",,,27,"1,4","0,2","NA","6,2","4,8",20,21,"0,14",29,"0,3","Tr",213,"0,07","0,1","6,8"
,,"TACO",,"Jurubeba, crua","100","g",,,126,"4,4","3,9","NA","23,1","23,9",151,65,"0,52",155,"0,9",1,619,"1,16","0,6","13,8"
,,"TACO",,"Mandioca, cozida","100","g",,,125,"0,6","0,3","NA","30,1","1,6",19,27,"0,06",22,"0,1",1,100,"0,01","0,2","11,1"
,,"TACO",,"Mandioca, crua","100","g",,,151,"1,1","0,3","NA","36,2","1,9",15,44,"0,05",29,"0,3",2,208,"0,07","0,2","16,5"
,,"TACO",,"Mandioca, farofa, temperada","100","g",,,406,"2,1","9,1","NA","80,3","7,8",66,34,"0,29",45,"1,4",575,201,"Tr","0,2","Tr"
,,"TACO",,"Mandioca, frita","100","g",,,300,"1,4","11,2","NA","50,3","1,9",23,95,"0,18",57,"0,3",9,176,"0,12","0,4","Tr"
,,"TACO",,"Manjericão, cru","100","g",,,21,"2,0","0,4","NA","3,6","3,3",211,58,"0,17",40,"1,0",4,252,"0,16","0,5","2,3"
,,"TACO",,"Maxixe, cru","100","g",,,14,"1,4","0,1","NA","2,7","2,2",21,10,"0,07",25,"0,4",11,328,"0,02","0,2","9,6"
,,"TACO",,"Mostarda, folha, crua","100","g",,,18,"2,1","0,2","NA","3,2","1,9",68,16,"0,14",58,"1,1",3,364,"0,05","0,3","38,6"
,,"TACO",,"Nhoque, batata, cozido","100","g",,,181,"5,9","1,9",15,"36,8","1,8",11,18,"0,30",68,"1,6",7,164,"0,10","0,5","Tr"
,,"TACO",,"Nabo, cru","100","g",,,18,"1,2","0,1","NA","4,1","2,6",42,15,"4,42",17,"0,2",2,280,"0,02","0,2","9,6"
,,"TACO",,"Palmito, juçara, em conserva","100","g",,,23,"1,8","0,4","NA","4,3","3,2",58,34,"10,82",40,"0,3",514,244,"0,23","0,7","2,0"
,,"TACO",,"Palmito, pupunha, em conserva","100","g",,,29,"2,5","0,5","NA","5,5","2,6",32,25,"0,14",55,"0,2",563,206,"0,08","0,4","8,7"
,,"TACO",,"Pão, de queijo, assado","100","g",,,363,"5,1","24,6",68,"34,2","0,6",102,8,"0,03",94,"0,3",773,93,"0,01","0,6"," "
,,"TACO",,"Pão, de queijo, cru","100","g",,,295,"3,6","14,0",63,"38,5","1,0",88,7,"Tr",79,"0,3",405,58,"Tr","0,4"," "
,,"TACO",,"Pepino, cru","100","g",,,10,"0,9","Tr","NA","2,0","1,1",10,9,"0,08",12,"0,1","Tr",154,"0,04","0,1","5,0"
,,"TACO",,"Pimentão, amarelo, cru","100","g",,,28,"1,2","0,4","NA","6,0","1,9",10,11,"0,08",22,"0,4","Tr",221,"0,04","0,2","201,4"
,,"TACO",,"Pimentão, verde, cru","100","g",,,21,"1,1","0,2","NA","4,9","2,6",9,8,"0,14",17,"0,4","Tr",174,"0,07","0,1","100,2"
,,"TACO",,"Pimentão, vermelho, cru","100","g",,,23,"1,0","0,1","NA","5,5","1,6",6,11,"0,06",20,"0,3","Tr",211,"0,04","0,2","158,2"
